land,year,metric_type,value,country_code
Belarus,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88,BLR
Belarus,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88,BLR
Belgium,2005,Land area (thousand hectares),3028.0,BEL
Belgium,2005,Arable land (thousand hectares),843.0,BEL
Belgium,2005,Permanent crops (thousand hectares),21.0,BEL
Belgium,2005,Forest cover (thousand hectares),679.0,BEL
Belgium,2005,Arable land (% of total land area),27.8,BEL
Belgium,2005,Permanent crops (% of total land area),0.7,BEL
Belgium,2005,Forest cover (% of total land area),22.4,BEL
Belgium,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),72.21,BEL
Belgium,2010,Land area (thousand hectares),3028.0,BEL
Belgium,2010,Arable land (thousand hectares),834.0,BEL
Belgium,2010,Permanent crops (thousand hectares),22.0,BEL
Belgium,2010,Forest cover (thousand hectares),690.0,BEL
Belgium,2010,Arable land (% of total land area),27.5,BEL
Belgium,2010,Permanent crops (% of total land area),0.7,BEL
Belgium,2010,Forest cover (% of total land area),22.8,BEL
Belgium,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),72.84,BEL
Belgium,2019,Land area (thousand hectares),3028.0,BEL
Belgium,2019,Arable land (thousand hectares),857.0,BEL
Belgium,2019,Permanent crops (thousand hectares),24.0,BEL
Belgium,2019,Forest cover (thousand hectares),689.0,BEL
Belgium,2019,Arable land (% of total land area),28.3,BEL
Belgium,2019,Permanent crops (% of total land area),0.8,BEL
Belgium,2019,Forest cover (% of total land area),22.8,BEL
Belgium,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),75.88,BEL
Belgium,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),75.88,BEL
Belize,2005,Land area (thousand hectares),2281.0,BLZ
Belize,2005,Arable land (thousand hectares),70.0,BLZ
Belize,2005,Permanent crops (thousand hectares),32.0,BLZ
Belize,2005,Forest cover (thousand hectares),1425.0,BLZ
Belize,2005,Arable land (% of total land area),3.1,BLZ
Belize,2005,Permanent crops (% of total land area),1.4,BLZ
Belize,2005,Forest cover (% of total land area),62.5,BLZ
Belize,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.07,BLZ
Belize,2010,Land area (thousand hectares),2281.0,BLZ
Belize,2010,Arable land (thousand hectares),75.0,BLZ
Belize,2010,Permanent crops (thousand hectares),32.0,BLZ
Belize,2010,Forest cover (thousand hectares),1391.0,BLZ
Belize,2010,Arable land (% of total land area),3.3,BLZ
Belize,2010,Permanent crops (% of total land area),1.4,BLZ
Belize,2010,Forest cover (% of total land area),61.0,BLZ
Belize,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.09,BLZ
Belize,2019,Land area (thousand hectares),2281.0,BLZ
Belize,2019,Arable land (thousand hectares),90.0,BLZ
Belize,2019,Permanent crops (thousand hectares),32.0,BLZ
Belize,2019,Forest cover (thousand hectares),1288.0,BLZ
Belize,2019,Arable land (% of total land area),3.9,BLZ
Belize,2019,Permanent crops (% of total land area),1.4,BLZ
Belize,2019,Forest cover (% of total land area),56.5,BLZ
Belize,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.26,BLZ
Belize,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.26,BLZ
Benin,2005,Land area (thousand hectares),11276.0,BEN
Benin,2005,Arable land (thousand hectares),2654.0,BEN
Benin,2005,Permanent crops (thousand hectares),280.0,BEN
Benin,2005,Forest cover (thousand hectares),3885.0,BEN
Benin,2005,Arable land (% of total land area),23.5,BEN
Benin,2005,Permanent crops (% of total land area),2.5,BEN
Benin,2005,Forest cover (% of total land area),34.5,BEN
Benin,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,BEN
Benin,2010,Land area (thousand hectares),11276.0,BEN
Benin,2010,Arable land (thousand hectares),2500.0,BEN
Benin,2010,Permanent crops (thousand hectares),600.0,BEN
Benin,2010,Forest cover (thousand hectares),3635.0,BEN
Benin,2010,Arable land (% of total land area),22.2,BEN
Benin,2010,Permanent crops (% of total land area),5.3,BEN
Benin,2010,Forest cover (% of total land area),32.2,BEN
Benin,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,BEN
Benin,2019,Land area (thousand hectares),11276.0,BEN
Benin,2019,Arable land (thousand hectares),2800.0,BEN
Benin,2019,Permanent crops (thousand hectares),600.0,BEN
Benin,2019,Forest cover (thousand hectares),3185.0,BEN
Benin,2019,Arable land (% of total land area),24.8,BEN
Benin,2019,Permanent crops (% of total land area),5.3,BEN
Benin,2019,Forest cover (% of total land area),28.2,BEN
Benin,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,BEN
Benin,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66,BEN
Bermuda,2005,Land area (thousand hectares),5.0,BMU
Bermuda,2005,Arable land (thousand hectares),0.0,BMU
Bermuda,2005,Forest cover (thousand hectares),1.0,BMU
Bermuda,2005,Arable land (% of total land area),7.4,BMU
Bermuda,2005,Forest cover (% of total land area),18.5,BMU
Bermuda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,BMU
Bermuda,2010,Land area (thousand hectares),5.0,BMU
Bermuda,2010,Arable land (thousand hectares),0.0,BMU
Bermuda,2010,Forest cover (thousand hectares),1.0,BMU
Bermuda,2010,Arable land (% of total land area),5.6,BMU
Bermuda,2010,Forest cover (% of total land area),18.5,BMU
Bermuda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,BMU
Bermuda,2019,Land area (thousand hectares),5.0,BMU
Bermuda,2019,Arable land (thousand hectares),0.0,BMU
Bermuda,2019,Forest cover (thousand hectares),1.0,BMU
Bermuda,2019,Arable land (% of total land area),5.6,BMU
Bermuda,2019,Forest cover (% of total land area),18.5,BMU
Bermuda,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,BMU
Bermuda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.98,BMU
Bhutan,2005,Land area (thousand hectares),3812.0,BTN
Bhutan,2005,Arable land (thousand hectares),167.0,BTN
Bhutan,2005,Permanent crops (thousand hectares),19.0,BTN
Bhutan,2005,Forest cover (thousand hectares),2656.0,BTN
Bhutan,2005,Arable land (% of total land area),4.4,BTN
Bhutan,2005,Permanent crops (% of total land area),0.5,BTN
Bhutan,2005,Forest cover (% of total land area),69.7,BTN
Bhutan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.59,BTN
Bhutan,2010,Land area (thousand hectares),3812.0,BTN
Bhutan,2010,Arable land (thousand hectares),101.0,BTN
Bhutan,2010,Permanent crops (thousand hectares),12.0,BTN
Bhutan,2010,Forest cover (thousand hectares),2705.0,BTN
Bhutan,2010,Arable land (% of total land area),2.6,BTN
Bhutan,2010,Permanent crops (% of total land area),0.3,BTN
Bhutan,2010,Forest cover (% of total land area),71.0,BTN
Bhutan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.41,BTN
Bhutan,2019,Land area (thousand hectares),3814.0,BTN
Bhutan,2019,Arable land (thousand hectares),94.0,BTN
Bhutan,2019,Permanent crops (thousand hectares),6.0,BTN
Bhutan,2019,Forest cover (thousand hectares),2723.0,BTN
Bhutan,2019,Arable land (% of total land area),2.5,BTN
Bhutan,2019,Permanent crops (% of total land area),0.2,BTN
Bhutan,2019,Forest cover (% of total land area),71.4,BTN
Bhutan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),46.97,BTN
Bhutan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.97,BTN
Bolivia (Plurin. State of),2005,Land area (thousand hectares),108330.0,BOL
Bolivia (Plurin. State of),2005,Arable land (thousand hectares),3806.0,BOL
Bolivia (Plurin. State of),2005,Permanent crops (thousand hectares),199.0,BOL
Bolivia (Plurin. State of),2005,Forest cover (thousand hectares),54094.0,BOL
Bolivia (Plurin. State of),2005,Arable land (% of total land area),3.5,BOL
Bolivia (Plurin. State of),2005,Permanent crops (% of total land area),0.2,BOL
Bolivia (Plurin. State of),2005,Forest cover (% of total land area),49.9,BOL
Bolivia (Plurin. State of),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),43.89,BOL
Bolivia (Plurin. State of),2010,Land area (thousand hectares),108330.0,BOL
Bolivia (Plurin. State of),2010,Arable land (thousand hectares),4297.0,BOL
Bolivia (Plurin. State of),2010,Permanent crops (thousand hectares),219.0,BOL
Bolivia (Plurin. State of),2010,Forest cover (thousand hectares),53086.0,BOL
Bolivia (Plurin. State of),2010,Arable land (% of total land area),4.0,BOL
Bolivia (Plurin. State of),2010,Permanent crops (% of total land area),0.2,BOL
Bolivia (Plurin. State of),2010,Forest cover (% of total land area),49.0,BOL
Bolivia (Plurin. State of),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45,BOL
Bolivia (Plurin. State of),2019,Land area (thousand hectares),108330.0,BOL
Bolivia (Plurin. State of),2019,Arable land (thousand hectares),4540.0,BOL
Bolivia (Plurin. State of),2019,Permanent crops (thousand hectares),247.0,BOL
Bolivia (Plurin. State of),2019,Forest cover (thousand hectares),51034.0,BOL
Bolivia (Plurin. State of),2019,Arable land (% of total land area),4.2,BOL
Bolivia (Plurin. State of),2019,Permanent crops (% of total land area),0.2,BOL
Bolivia (Plurin. State of),2019,Forest cover (% of total land area),47.1,BOL
Bolivia (Plurin. State of),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45,BOL
Bolivia (Plurin. State of),2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45,BOL
"Bonaire, St. Eustatius & Saba",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),39.27,BES
"Bonaire, St. Eustatius & Saba",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.27,BES
"Bonaire, St. Eustatius & Saba",2019,Land area (thousand hectares),32.0,BES
"Bonaire, St. Eustatius & Saba",2019,Forest cover (thousand hectares),2.0,BES
"Bonaire, St. Eustatius & Saba",2019,Forest cover (% of total land area),5.9,BES
"Bonaire, St. Eustatius & Saba",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),62.47,BES
"Bonaire, St. Eustatius & Saba",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),62.47,BES
Bosnia and Herzegovina,2005,Land area (thousand hectares),5120.0,BIH
Bosnia and Herzegovina,2005,Arable land (thousand hectares),1025.0,BIH
Bosnia and Herzegovina,2005,Permanent crops (thousand hectares),95.0,BIH
Bosnia and Herzegovina,2005,Forest cover (thousand hectares),2107.0,BIH
Bosnia and Herzegovina,2005,Arable land (% of total land area),20.0,BIH
Bosnia and Herzegovina,2005,Permanent crops (% of total land area),1.9,BIH
Bosnia and Herzegovina,2005,Forest cover (% of total land area),41.2,BIH
Bosnia and Herzegovina,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.69,BIH
Bosnia and Herzegovina,2010,Land area (thousand hectares),5120.0,BIH
Bosnia and Herzegovina,2010,Arable land (thousand hectares),1004.0,BIH
Bosnia and Herzegovina,2010,Permanent crops (thousand hectares),105.0,BIH
Bosnia and Herzegovina,2010,Forest cover (thousand hectares),2103.0,BIH
Bosnia and Herzegovina,2010,Arable land (% of total land area),19.6,BIH
Bosnia and Herzegovina,2010,Permanent crops (% of total land area),2.1,BIH
Bosnia and Herzegovina,2010,Forest cover (% of total land area),41.1,BIH
Bosnia and Herzegovina,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.87,BIH
Bosnia and Herzegovina,2019,Land area (thousand hectares),5120.0,BIH
Bosnia and Herzegovina,2019,Arable land (thousand hectares),1015.0,BIH
Bosnia and Herzegovina,2019,Permanent crops (thousand hectares),106.0,BIH
Bosnia and Herzegovina,2019,Forest cover (thousand hectares),2188.0,BIH
Bosnia and Herzegovina,2019,Arable land (% of total land area),19.8,BIH
Bosnia and Herzegovina,2019,Permanent crops (% of total land area),2.1,BIH
Bosnia and Herzegovina,2019,Forest cover (% of total land area),42.7,BIH
Bosnia and Herzegovina,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),28.99,BIH
Bosnia and Herzegovina,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),28.99,BIH
Botswana,2005,Land area (thousand hectares),56673.0,BWA
Botswana,2005,Arable land (thousand hectares),240.0,BWA
Botswana,2005,Permanent crops (thousand hectares),2.0,BWA
Botswana,2005,Forest cover (thousand hectares),17029.0,BWA
Botswana,2005,Arable land (% of total land area),0.4,BWA
Botswana,2005,Permanent crops (% of total land area),0.0,BWA
Botswana,2005,Forest cover (% of total land area),30.0,BWA
Botswana,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,BWA
Botswana,2010,Land area (thousand hectares),56673.0,BWA
Botswana,2010,Arable land (thousand hectares),259.0,BWA
Botswana,2010,Permanent crops (thousand hectares),2.0,BWA
Botswana,2010,Forest cover (thousand hectares),16438.0,BWA
Botswana,2010,Arable land (% of total land area),0.5,BWA
Botswana,2010,Permanent crops (% of total land area),0.0,BWA
Botswana,2010,Forest cover (% of total land area),29.0,BWA
Botswana,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,BWA
Botswana,2019,Land area (thousand hectares),56673.0,BWA
Botswana,2019,Arable land (thousand hectares),260.0,BWA
Botswana,2019,Permanent crops (thousand hectares),2.0,BWA
Botswana,2019,Forest cover (thousand hectares),15373.0,BWA
Botswana,2019,Arable land (% of total land area),0.5,BWA
Botswana,2019,Permanent crops (% of total land area),0.0,BWA
Botswana,2019,Forest cover (% of total land area),27.1,BWA
Botswana,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,BWA
Botswana,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09,BWA
Brazil,2005,Land area (thousand hectares),835814.0,BRA
Brazil,2005,Arable land (thousand hectares),48333.0,BRA
Brazil,2005,Permanent crops (thousand hectares),11302.0,BRA
Brazil,2005,Forest cover (thousand hectares),531335.0,BRA
Brazil,2005,Arable land (% of total land area),5.8,BRA
Brazil,2005,Permanent crops (% of total land area),1.4,BRA
Brazil,2005,Forest cover (% of total land area),63.6,BRA
Brazil,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),37.39,BRA
Brazil,2010,Land area (thousand hectares),835814.0,BRA
Brazil,2010,Arable land (thousand hectares),51405.0,BRA
Brazil,2010,Permanent crops (thousand hectares),10252.0,BRA
Brazil,2010,Forest cover (thousand hectares),511581.0,BRA
Brazil,2010,Arable land (% of total land area),6.2,BRA
Brazil,2010,Permanent crops (% of total land area),1.2,BRA
Brazil,2010,Forest cover (% of total land area),61.2,BRA
Brazil,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),42.0,BRA
Brazil,2019,Land area (thousand hectares),835814.0,BRA
Brazil,2019,Arable land (thousand hectares),55762.0,BRA
Brazil,2019,Permanent crops (thousand hectares),7756.0,BRA
Brazil,2019,Forest cover (thousand hectares),497799.0,BRA
Brazil,2019,Arable land (% of total land area),6.7,BRA
Brazil,2019,Permanent crops (% of total land area),0.9,BRA
Brazil,2019,Forest cover (% of total land area),59.6,BRA
Brazil,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.71,BRA
Brazil,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.71,BRA
British Indian Ocean Terr.,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),99.97,
British Indian Ocean Terr.,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),99.97,
British Indian Ocean Terr.,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),99.97,
British Virgin Islands,2005,Land area (thousand hectares),15.0,VGB
British Virgin Islands,2005,Arable land (thousand hectares),1.0,VGB
British Virgin Islands,2005,Permanent crops (thousand hectares),1.0,VGB
British Virgin Islands,2005,Forest cover (thousand hectares),4.0,VGB
British Virgin Islands,2005,Arable land (% of total land area),6.7,VGB
British Virgin Islands,2005,Permanent crops (% of total land area),6.7,VGB
British Virgin Islands,2005,Forest cover (% of total land area),24.4,VGB
British Virgin Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,VGB
British Virgin Islands,2010,Land area (thousand hectares),15.0,VGB
British Virgin Islands,2010,Arable land (thousand hectares),1.0,VGB
British Virgin Islands,2010,Permanent crops (thousand hectares),1.0,VGB
British Virgin Islands,2010,Forest cover (thousand hectares),4.0,VGB
British Virgin Islands,2010,Arable land (% of total land area),6.7,VGB
British Virgin Islands,2010,Permanent crops (% of total land area),6.7,VGB
British Virgin Islands,2010,Forest cover (% of total land area),24.3,VGB
British Virgin Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,VGB
British Virgin Islands,2019,Land area (thousand hectares),15.0,VGB
British Virgin Islands,2019,Arable land (thousand hectares),1.0,VGB
British Virgin Islands,2019,Permanent crops (thousand hectares),1.0,VGB
British Virgin Islands,2019,Forest cover (thousand hectares),4.0,VGB
British Virgin Islands,2019,Arable land (% of total land area),6.7,VGB
British Virgin Islands,2019,Permanent crops (% of total land area),6.7,VGB
British Virgin Islands,2019,Forest cover (% of total land area),24.1,VGB
British Virgin Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,VGB
British Virgin Islands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),7.37,VGB
Brunei Darussalam,2005,Land area (thousand hectares),527.0,BRN
Brunei Darussalam,2005,Arable land (thousand hectares),2.0,BRN
Brunei Darussalam,2005,Permanent crops (thousand hectares),5.0,BRN
Brunei Darussalam,2005,Forest cover (thousand hectares),389.0,BRN
Brunei Darussalam,2005,Arable land (% of total land area),0.4,BRN
Brunei Darussalam,2005,Permanent crops (% of total land area),0.9,BRN
Brunei Darussalam,2005,Forest cover (% of total land area),73.7,BRN
Brunei Darussalam,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,BRN
Brunei Darussalam,2010,Land area (thousand hectares),527.0,BRN
Brunei Darussalam,2010,Arable land (thousand hectares),4.0,BRN
Brunei Darussalam,2010,Permanent crops (thousand hectares),6.0,BRN
Brunei Darussalam,2010,Forest cover (thousand hectares),380.0,BRN
Brunei Darussalam,2010,Arable land (% of total land area),0.8,BRN
Brunei Darussalam,2010,Permanent crops (% of total land area),1.1,BRN
Brunei Darussalam,2010,Forest cover (% of total land area),72.1,BRN
Brunei Darussalam,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,BRN
Brunei Darussalam,2019,Land area (thousand hectares),527.0,BRN
Brunei Darussalam,2019,Arable land (thousand hectares),4.0,BRN
Brunei Darussalam,2019,Permanent crops (thousand hectares),6.0,BRN
Brunei Darussalam,2019,Forest cover (thousand hectares),380.0,BRN
Brunei Darussalam,2019,Arable land (% of total land area),0.8,BRN
Brunei Darussalam,2019,Permanent crops (% of total land area),1.1,BRN
Brunei Darussalam,2019,Forest cover (% of total land area),72.1,BRN
Brunei Darussalam,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,BRN
Brunei Darussalam,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66,BRN
Bulgaria,2005,Land area (thousand hectares),10864.0,BGR
Bulgaria,2005,Arable land (thousand hectares),3173.0,BGR
Bulgaria,2005,Permanent crops (thousand hectares),188.0,BGR
Bulgaria,2005,Forest cover (thousand hectares),3556.0,BGR
Bulgaria,2005,Arable land (% of total land area),29.2,BGR
Bulgaria,2005,Permanent crops (% of total land area),1.7,BGR
Bulgaria,2005,Forest cover (% of total land area),32.7,BGR
Bulgaria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.8,BGR
Bulgaria,2010,Land area (thousand hectares),10856.0,BGR
Bulgaria,2010,Arable land (thousand hectares),3186.0,BGR
Bulgaria,2010,Permanent crops (thousand hectares),164.0,BGR
Bulgaria,2010,Forest cover (thousand hectares),3737.0,BGR
Bulgaria,2010,Arable land (% of total land area),29.3,BGR
Bulgaria,2010,Permanent crops (% of total land area),1.5,BGR
Bulgaria,2010,Forest cover (% of total land area),34.4,BGR
Bulgaria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),98.32,BGR
Bulgaria,2019,Land area (thousand hectares),10856.0,BGR
Bulgaria,2019,Arable land (thousand hectares),3476.0,BGR
Bulgaria,2019,Permanent crops (thousand hectares),153.0,BGR
Bulgaria,2019,Forest cover (thousand hectares),3880.0,BGR
Bulgaria,2019,Arable land (% of total land area),32.0,BGR
Bulgaria,2019,Permanent crops (% of total land area),1.4,BGR
Bulgaria,2019,Forest cover (% of total land area),35.7,BGR
Bulgaria,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),99.28,BGR
Bulgaria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),99.28,BGR
Burkina Faso,2005,Land area (thousand hectares),27360.0,BFA
Burkina Faso,2005,Arable land (thousand hectares),4900.0,BFA
Burkina Faso,2005,Permanent crops (thousand hectares),70.0,BFA
Burkina Faso,2005,Forest cover (thousand hectares),6967.0,BFA
Burkina Faso,2005,Arable land (% of total land area),17.9,BFA
Burkina Faso,2005,Permanent crops (% of total land area),0.3,BFA
Burkina Faso,2005,Forest cover (% of total land area),25.5,BFA
Burkina Faso,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),71.02,BFA
Burkina Faso,2010,Land area (thousand hectares),27360.0,BFA
Burkina Faso,2010,Arable land (thousand hectares),6000.0,BFA
Burkina Faso,2010,Permanent crops (thousand hectares),80.0,BFA
Burkina Faso,2010,Forest cover (thousand hectares),6717.0,BFA
Burkina Faso,2010,Arable land (% of total land area),21.9,BFA
Burkina Faso,2010,Permanent crops (% of total land area),0.3,BFA
Burkina Faso,2010,Forest cover (% of total land area),24.5,BFA
Burkina Faso,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8,BFA
Burkina Faso,2019,Land area (thousand hectares),27360.0,BFA
Burkina Faso,2019,Arable land (thousand hectares),6000.0,BFA
Burkina Faso,2019,Permanent crops (thousand hectares),100.0,BFA
Burkina Faso,2019,Forest cover (thousand hectares),6266.0,BFA
Burkina Faso,2019,Arable land (% of total land area),21.9,BFA
Burkina Faso,2019,Permanent crops (% of total land area),0.4,BFA
Burkina Faso,2019,Forest cover (% of total land area),22.9,BFA
Burkina Faso,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8,BFA
Burkina Faso,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8,BFA
Burundi,2005,Land area (thousand hectares),2568.0,BDI
Burundi,2005,Arable land (thousand hectares),956.0,BDI
Burundi,2005,Permanent crops (thousand hectares),380.0,BDI
Burundi,2005,Forest cover (thousand hectares),194.0,BDI
Burundi,2005,Arable land (% of total land area),37.2,BDI
Burundi,2005,Permanent crops (% of total land area),14.8,BDI
Burundi,2005,Forest cover (% of total land area),7.6,BDI
Burundi,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,BDI
Burundi,2010,Land area (thousand hectares),2568.0,BDI
Burundi,2010,Arable land (thousand hectares),950.0,BDI
Burundi,2010,Permanent crops (thousand hectares),400.0,BDI
Burundi,2010,Forest cover (thousand hectares),194.0,BDI
Burundi,2010,Arable land (% of total land area),37.0,BDI
Burundi,2010,Permanent crops (% of total land area),15.6,BDI
Burundi,2010,Forest cover (% of total land area),7.6,BDI
Burundi,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,BDI
Burundi,2019,Land area (thousand hectares),2568.0,BDI
Burundi,2019,Arable land (thousand hectares),1200.0,BDI
Burundi,2019,Permanent crops (thousand hectares),350.0,BDI
Burundi,2019,Forest cover (thousand hectares),280.0,BDI
Burundi,2019,Arable land (% of total land area),46.7,BDI
Burundi,2019,Permanent crops (% of total land area),13.6,BDI
Burundi,2019,Forest cover (% of total land area),10.9,BDI
Burundi,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,BDI
Burundi,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),56.83,BDI
Cabo Verde,2005,Land area (thousand hectares),403.0,CPV
Cabo Verde,2005,Arable land (thousand hectares),48.0,CPV
Cabo Verde,2005,Permanent crops (thousand hectares),2.0,CPV
Cabo Verde,2005,Forest cover (thousand hectares),41.0,CPV
Cabo Verde,2005,Arable land (% of total land area),11.9,CPV
Cabo Verde,2005,Permanent crops (% of total land area),0.5,CPV
Cabo Verde,2005,Forest cover (% of total land area),10.2,CPV
Cabo Verde,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,CPV
Cabo Verde,2010,Land area (thousand hectares),403.0,CPV
Cabo Verde,2010,Arable land (thousand hectares),50.0,CPV
Cabo Verde,2010,Permanent crops (thousand hectares),3.0,CPV
Cabo Verde,2010,Forest cover (thousand hectares),43.0,CPV
Cabo Verde,2010,Arable land (% of total land area),12.4,CPV
Cabo Verde,2010,Permanent crops (% of total land area),0.7,CPV
Cabo Verde,2010,Forest cover (% of total land area),10.6,CPV
Cabo Verde,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,CPV
Cabo Verde,2019,Land area (thousand hectares),403.0,CPV
Cabo Verde,2019,Arable land (thousand hectares),50.0,CPV
Cabo Verde,2019,Permanent crops (thousand hectares),4.0,CPV
Cabo Verde,2019,Forest cover (thousand hectares),45.0,CPV
Cabo Verde,2019,Arable land (% of total land area),12.4,CPV
Cabo Verde,2019,Permanent crops (% of total land area),1.0,CPV
Cabo Verde,2019,Forest cover (% of total land area),11.3,CPV
Cabo Verde,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,CPV
Cabo Verde,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03,CPV
Cambodia,2005,Land area (thousand hectares),17652.0,KHM
Cambodia,2005,Arable land (thousand hectares),3700.0,KHM
Cambodia,2005,Permanent crops (thousand hectares),156.0,KHM
Cambodia,2005,Forest cover (thousand hectares),10685.0,KHM
Cambodia,2005,Arable land (% of total land area),21.0,KHM
Cambodia,2005,Permanent crops (% of total land area),0.9,KHM
Cambodia,2005,Forest cover (% of total land area),60.5,KHM
Cambodia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.7,KHM
Cambodia,2010,Land area (thousand hectares),17652.0,KHM
Cambodia,2010,Arable land (thousand hectares),3800.0,KHM
Cambodia,2010,Permanent crops (thousand hectares),155.0,KHM
Cambodia,2010,Forest cover (thousand hectares),10589.0,KHM
Cambodia,2010,Arable land (% of total land area),21.5,KHM
Cambodia,2010,Permanent crops (% of total land area),0.9,KHM
Cambodia,2010,Forest cover (% of total land area),60.0,KHM
Cambodia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.7,KHM
Cambodia,2019,Land area (thousand hectares),17652.0,KHM
Cambodia,2019,Arable land (thousand hectares),3876.0,KHM
Cambodia,2019,Permanent crops (thousand hectares),190.0,KHM
Cambodia,2019,Forest cover (thousand hectares),8224.0,KHM
Cambodia,2019,Arable land (% of total land area),22.0,KHM
Cambodia,2019,Permanent crops (% of total land area),1.1,KHM
Cambodia,2019,Forest cover (% of total land area),46.6,KHM
Cambodia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),54.54,KHM
Cambodia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),54.54,KHM
Cameroon,2005,Land area (thousand hectares),47271.0,CMR
Cameroon,2005,Arable land (thousand hectares),5963.0,CMR
Cameroon,2005,Permanent crops (thousand hectares),1250.0,CMR
Cameroon,2005,Forest cover (thousand hectares),21249.0,CMR
Cameroon,2005,Arable land (% of total land area),12.6,CMR
Cameroon,2005,Permanent crops (% of total land area),2.6,CMR
Cameroon,2005,Forest cover (% of total land area),45.0,CMR
Cameroon,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32.53,CMR
Cameroon,2010,Land area (thousand hectares),47271.0,CMR
Cameroon,2010,Arable land (thousand hectares),6200.0,CMR
Cameroon,2010,Permanent crops (thousand hectares),1500.0,CMR
Cameroon,2010,Forest cover (thousand hectares),20900.0,CMR
Cameroon,2010,Arable land (% of total land area),13.1,CMR
