T25,Land,,,,,
44,Bahamas,2005,Land area (thousand hectares),"1,001",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Arable land (thousand hectares),7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Permanent crops (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Forest cover (thousand hectares),510,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Arable land (% of total land area),0.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Permanent crops (% of total land area),0.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Forest cover (% of total land area),50.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.09,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
44,Bahamas,2010,Land area (thousand hectares),"1,001",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Arable land (thousand hectares),9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Permanent crops (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Forest cover (thousand hectares),510,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Arable land (% of total land area),0.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Permanent crops (% of total land area),0.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Forest cover (% of total land area),50.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.15,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
44,Bahamas,2019,Land area (thousand hectares),"1,001",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Arable land (thousand hectares),8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Permanent crops (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Forest cover (thousand hectares),510,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Arable land (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Permanent crops (% of total land area),0.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Forest cover (% of total land area),50.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
44,Bahamas,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),29.83,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
44,Bahamas,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),29.83,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
48,Bahrain,2005,Land area (thousand hectares),74,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Permanent crops (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Forest cover (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Arable land (% of total land area),2.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Permanent crops (% of total land area),4.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Forest cover (% of total land area),0.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
48,Bahrain,2010,Land area (thousand hectares),76,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Permanent crops (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Forest cover (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Arable land (% of total land area),2.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Permanent crops (% of total land area),3.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Forest cover (% of total land area),0.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
48,Bahrain,2019,Land area (thousand hectares),78,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Permanent crops (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Forest cover (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Arable land (% of total land area),2.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Permanent crops (% of total land area),3.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Forest cover (% of total land area),0.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
48,Bahrain,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
48,Bahrain,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
50,Bangladesh,2005,Land area (thousand hectares),"13,017",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Arable land (thousand hectares),"7,911",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Permanent crops (thousand hectares),800,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Forest cover (thousand hectares),"1,904",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Arable land (% of total land area),60.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Permanent crops (% of total land area),6.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Forest cover (% of total land area),14.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.87,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
50,Bangladesh,2010,Land area (thousand hectares),"13,017",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Arable land (thousand hectares),"7,791",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Permanent crops (thousand hectares),850,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Forest cover (thousand hectares),"1,888",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Arable land (% of total land area),59.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Permanent crops (% of total land area),6.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Forest cover (% of total land area),14.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.45,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
50,Bangladesh,2019,Land area (thousand hectares),"13,017",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Arable land (thousand hectares),"7,967",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Permanent crops (thousand hectares),830,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Forest cover (thousand hectares),"1,883",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Arable land (% of total land area),61.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Permanent crops (% of total land area),6.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Forest cover (% of total land area),14.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
50,Bangladesh,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.47,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
50,Bangladesh,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.47,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
52,Barbados,2005,Land area (thousand hectares),43,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Arable land (thousand hectares),13,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Permanent crops (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Forest cover (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Arable land (% of total land area),30.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Permanent crops (% of total land area),2.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Forest cover (% of total land area),14.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
52,Barbados,2010,Land area (thousand hectares),43,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Arable land (thousand hectares),12,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Permanent crops (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Forest cover (thousand hectares),6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Arable land (% of total land area),27.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Permanent crops (% of total land area),2.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Forest cover (% of total land area),14.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
52,Barbados,2019,Land area (thousand hectares),43,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Arable land (thousand hectares),7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Permanent crops (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Forest cover (thousand hectares),6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Arable land (% of total land area),16.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Permanent crops (% of total land area),2.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Forest cover (% of total land area),14.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
52,Barbados,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
52,Barbados,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
112,Belarus,2005,Land area (thousand hectares),"20,283",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Arable land (thousand hectares),"5,542",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Permanent crops (thousand hectares),118,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Forest cover (thousand hectares),"8,452",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Arable land (% of total land area),27.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Forest cover (% of total land area),41.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),75.80,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
112,Belarus,2010,Land area (thousand hectares),"20,290",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Arable land (thousand hectares),"5,535",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Permanent crops (thousand hectares),122,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Forest cover (thousand hectares),"8,630",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Arable land (% of total land area),27.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Forest cover (% of total land area),42.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),75.80,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
112,Belarus,2019,Land area (thousand hectares),"20,297",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Arable land (thousand hectares),"5,713",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Permanent crops (thousand hectares),107,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Forest cover (thousand hectares),"8,753",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Arable land (% of total land area),28.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Permanent crops (% of total land area),0.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Forest cover (% of total land area),43.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
112,Belarus,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
112,Belarus,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
56,Belgium,2005,Land area (thousand hectares),"3,028",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Arable land (thousand hectares),843,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Permanent crops (thousand hectares),21,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Forest cover (thousand hectares),679,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Arable land (% of total land area),27.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Forest cover (% of total land area),22.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),72.21,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
56,Belgium,2010,Land area (thousand hectares),"3,028",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Arable land (thousand hectares),834,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Permanent crops (thousand hectares),22,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Forest cover (thousand hectares),690,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Arable land (% of total land area),27.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Forest cover (% of total land area),22.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),72.84,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
56,Belgium,2019,Land area (thousand hectares),"3,028",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Arable land (thousand hectares),857,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Permanent crops (thousand hectares),24,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Forest cover (thousand hectares),689,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Arable land (% of total land area),28.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Permanent crops (% of total land area),0.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Forest cover (% of total land area),22.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
56,Belgium,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),75.88,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
56,Belgium,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),75.88,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
84,Belize,2005,Land area (thousand hectares),"2,281",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Arable land (thousand hectares),70,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Permanent crops (thousand hectares),32,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Forest cover (thousand hectares),"1,425",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Arable land (% of total land area),3.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Permanent crops (% of total land area),1.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Forest cover (% of total land area),62.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.07,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
84,Belize,2010,Land area (thousand hectares),"2,281",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Arable land (thousand hectares),75,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Permanent crops (thousand hectares),32,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Forest cover (thousand hectares),"1,391",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Arable land (% of total land area),3.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Permanent crops (% of total land area),1.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Forest cover (% of total land area),61.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.09,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
84,Belize,2019,Land area (thousand hectares),"2,281",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
84,Belize,2019,Arable land (thousand hectares),90,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
